tweets,classes
"Agr até eu quero um xiaomi",positivo
"xiaomi= tudo pra mim. https://t.co/7lAvXTxa2J",positivo
"RT @karnsteins: meu celular está 1 dia e 6 horas sem carregar e ainda to c 17% ouvindo música no meu fone bluetooth e jogando ff  xiaomi ob…",positivo
"@Juliano_Fleck Se procura aplicativo usa o Smart Iptv, se for TV box a da Xiaomi é excelente.",positivo
"@paginamemebro nn gosto da câmera do xiaomi",negativo
"3 dias, 9 horas e 30 min sem carregar
Xiaomi, conte comigo pra tudo https://t.co/ymVhiRY89Z",positivo
"Começou a época de chuva. Vou comprar um guarda-chuva da xiaomi: muito melhor e mais barato que os outros",positivo
"@Tabatabatats agr vai ter  que aguentar os user de ios te chamando de xiaominion KKK (todo mundo sabe que Xiaomi é melhor 🤫)",positivo
"a camera do xiaomi é boa?",neutro
"@jackstarving cara eu ia comprar ele se não tivesse comprado o xiaomi",neutro
"Comprei um Xiaomi. Será que vou virar palestrante?",neutro
"@tockerslol xiaomi é melhor",positivo
"@breandu nada, Xiaomi é melhor de qualquer forma mesmo",positivo
"gente quem tem Xiaomi me fala qual é o melhor ?",neutro
"@bruso__s Olá, fiquei sabendo que você tem um xiaomi novinho ai rs rs",neutro
"gasto rios de dinheiro e atualizo o meu iphone em 2020, que tem um sistema que eu gosto muito, ou pego um Xiaomi mi… https://t.co/Y6vtTvGTdl",neutro
"Certo, eu admito, estou viciado nos produtos da Xaomi. Vou comprar o Mi Band 4, Xiaomi Mi 8 Lite e o Redmi Airdots… https://t.co/A63wIk9Jy1",positivo
"@XiaomiBrasil quando sai mi band 4 no Brasil???",neutro
"comprei o smartwatch mi band 4 da xiaomi... cara, o negócio é até eficiente. de primeira achei q ia ser uma coisa i… https://t.co/gvM7etovIm",positivo
"algm ai tem xiaomi mi band e quer me dizer se vale a pena comprar a 4",neutro
"A minha mi band 4 não conecta com o meu iPhone @XiaomiBrasil",negativo
"@XiaomiBrasil Minha Mi Band 4 parou de notificar #WhatsApp após atualização do IOS 13 alguém passando por isso? #iphone #miband4 #ios13",negativo
"Tô muito feliiiiiiiiiiiz, meus pais estão vindo de SP e trazendo p mim um mi band 4, para completar minha linha Xiaomi que amo muitoooo...",positivo
"Ainda não virei testemunha de xiaomi, mas to adorando minha mi band 4.",positivo
"Mal comprei a mi Band 2 e ja tô doido pra ter a 4, xiaomi pq fizeste isso comigo?!",positivo
"Depois de 1 mês e 3 dias finalmente meu Xiaomi Mi Band 4 que ganhei de aniver descarregou. 
Bateria q dura da #@$%^&amp;",positivo
"RT @selenaffection: obrigado pelo mimo @xiaomi https://t.co/u9rGImnPkx",positivo
"o carregador do xiaomi é perfeito",positivo
"existe povo mais chato que o povo q tem o celular Xiaomi ?? acho q só perdem para os alunos de direito",negativo
"Tá comprovado, eu tô apaixonado no meu Xiaomi. 😂😂",positivo
"Eu agora faço parte da seita APAIXONADOS POR XIAOMI",positivo
"Manooooo, xiaomi é muito bommmm",positivo
"hj faz 8 dias que não carrego meu xiaomi ele até já aprendeu a andar",positivo
"@Rolandinho Mas o xiaomi redmi mi note 78 tem a câmera melhor que o pixel ein",positivo
"@exame @JoelPinheiro85 É evidente né! Um celular carissimo. Sou mais o concorrente Xiaomi. Muito melhor!",positivo
"Preço Mínimo Drone Xiaomi Fimi X8 de 423€ https://t.co/bczbof5nrL https://t.co/mfaqMntlbQ",neutro
"RT @rightjikook: @jgkophoria seu celular é xiaomi?",neutro
"queria mexer num xiaomi",positivo
"A #Xiaomi mostrou a interface de seu novo smartwatch e como ele irá funcionar

https://t.co/fKQgfTcMTJ",neutro
"RT @BrenoFe10552050: A real é que a XIAOMI nunca chegará perto! E vocês que tem esses celulares tinham que parar de falar que a Apple não t…",negativo
"@Yurghx1922 Eu fui roubada na viagem do RJ. Aí comprei esse. Gosto da xiaomi pelo custo benefício",positivo
"@filtrbr @MAJORLAZER @thegreatkhalid Coloquem o smartwatch xiaomi e o fone de ouvido xiaomi redmi, nunca pedi nada, pleaseee!!!!",positivo
"minha mãe comprou um iphone pra ela e eu aq com essa merda de xiaomi
aiai",negativo
"@Arkimennes Puts, q merda!! Mas olha, no Alli tem tela do xiaomi baratinho.",positivo
"Uns 5 meses usando essa porra de Xiaomi o bgl tá parecendo um Moto G2 antigo de tanto que trava, toma no cu",negativo
"até que fim achei uma capinha pro meu Xiaomi 🥰📳",positivo
"@IramPereira3 Kkkkkkkkk só os testemunhas de Xiaomi",neutro
"@raissacxt aaa falei pra minha irmã que xiaomi é melhor mas não seiii aaa",neutro
"RT @radenclaw: @alice_gobbo9 @lojinhadoiphone compra um xiaomi bota a apple pra mamar",positivo
"@obrasilfabian @bitchoffsss @renanwrios As fotos da viagem tudo de xiaomi eu jogo pokemon e a bateria dura afu",positivo
"fui infectado pelo vírus da xiaomi e pqp o bag é mt bom mesmo ..",positivo
"@kthgoghs Xiaomi é mt bom vai por mim❤❤",positivo
"Quando falam que xiaomi é melhor que iPhone, logo jogo um “a camera do iPhone é melhor” https://t.co/RIqxYSHfUW",negativo
"@RaphaellaL_ olá senhora voce gostaria de ouvir os beneficios do xiaomi",positivo
"Enquanto isso eu reparei nos detalhes pra ver se era mesmo um xiaomi kkkk https://t.co/oNbIZgCZYm",neutro
"@fxckrimi Nao gosto de xiaomi entt.....
Mas tipo além da beleza
Ele tbm tem qualidade ?",negativo
"alguém sabe se fone da jbl é melhor que da xiaomi?",neutro
"@agnjes eu comprei o da xiaomi pelo custo x benefício",positivo
"Desde 10 da manhã, só 16% de bateria gasto, xiaomi conte comigo pra tudo",positivo
"Eu odeio a @Xiaomi",negativo
"poxa xiaomi pq tão bom? 😔",positivo
"@BaruckHelder Isso que dá ser amigo de um testemunha de xiaomi mais antigo..",positivo
"@Douglas65127353 O do xiaomi é horrível",negativo
"A #Xiaomi mostrou a interface de seu novo smartwatch e como ele irá funcionar

https://t.co/fKQgfTcMTJ",neutro
"Ao que tudo indica, muito em breve, o #RedmiNote8Pro, da #Xiaomi, vai estar oficialmente nas mãos dos consumidores… https://t.co/OUryUklbDQ",neutro
"Eu fico puto com o xiaomi pq nao da pra por um nome foda e super grande no contato pq o celular simplesmente nao deixa
Toxico",negativo
"@LopoFernando @jotaplays Que tema é esse do xiaomi amigo?",neutro
"O que é xiaomi?",neutro
"@teucontatinho eu acho que é da xiaomi!",neutro
"Voltei a ser testemunha de xiaomi, não é oq eu quero mas dá pra quebrar o galho até janeiro",negativo
"@balu_is_hot Eu durmo bastante e sou testemunha de Xiaomi também...",positivo
"Essa Xiaomi tá igual brasileiro, deixa tudo pra última hora... Cadê a MIUI 11 pro Note 7? Será que só vai sair aman… https://t.co/waHxMGSMQs",negativo
"Descobri q o celular da xiaomi tem modo noturno, gostei",positivo
"Eu só queria um xiaomi na minha vida.",positivo
"Socorro que meu xiaomi tá doido alguém me ajuda",negativo
"Se vcs não tem coragem pra falar, eu tenho: XIAOMI É RUIM SIM!",negativo
"Xiaomi deve lançar Redmi Note 8 Pro no Brasil https://t.co/npEgCukkyG",neutro
"Amanhã eu vou precisar de um carregador Xiaomi na UFU Umuarama. Ajuda eeeuuu meu povo",neutro
"@LuisRossetin MANO VC JA OUVIU FALA NOS PRODUTOS XIAOMI?",neutro
"Só queria comprar esse Xiaomi Redmi Note 8 que ta o mesmo preço do 7.. mas INFELIZMENTE minha mãe ainda ta pagando… https://t.co/wMOYDmdApx",neutro
"Fogo no parquinho até no grupo da Xiaomi https://t.co/CMXp4XUGIc",neutro
"Eleitor de Bolsonaro é chato sim mas vcs já viram os usuários do Xiaomi?",negativo
"@GabriellenCarmo Você precisa conhecer o Smartwatch Amazing GTR 42mm Swarovski da Xiaomi.... Aí sim vc vai estar co… https://t.co/yfYjdg05Rl",neutro
"Xiaomi Mi Note 10 chegando em 5 de novembro com cinco câmeras https://t.co/CGCjczyNuo",neutro
"Mas também com um xiaomi eu me torno uma Gisele Buchmann",positivo
"Obrigada xiaomi por ser o melhor celular da vida",positivo
"RT @jsantorox: @Douglas65127353 O do xiaomi é horrível",negativo
"@gcfintense @heytominie Calma aí kkkkkkk isso é meme pô, já usei o xiaomi da minha prima e é muito bom mesmo, kkkkkkkk",positivo
"Xiaomi é melhor que Apple https://t.co/xgJllpa14K",positivo
"Tava vendo uns modelos de xiaomi e visualmente ele é mt bonito temos q admitir",positivo
"@HirisSilva19 Xiaomi é boa por ser barato kkkkk",positivo
"Foto no xiaomi é outro nível https://t.co/F2zsk7UUeD",positivo
"fodase xiaomi",negativo
"Bicho, a câmera desse Xiaomi é insana de tão boa, puta merda",positivo
"Xiaomi eu te amo mas esse teu mi cloud me estressa",negativo
"como que eu silencio a palavra xiaomi da minha vida",negativo
"Tava vendo uns modelos de xiaomi e visualmente ele é mt bonito temos q admitir",positivo
"Xiaomi prepara-se para lançamento do Mi Note 10 
https://t.co/4zrWbhyTpJ https://t.co/XVCiRDJlyP",neutro
"NÃO COMPRE XIAOMI MI 9T https://t.co/hPUtnzonmw via @YouTube",negativo
"tô amando meu xiaomi 🥰 demorou, mas chegou kk",positivo